Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude,Location
2556 Lakewood,21054567.,Homrich,15800.00,HHF,07/27/2015,No,4,Riverbend,42.381006,-82.950292,"location
(42.381006, -82.950292)"
2512 Lakewood,21054562.,Able Demolition,19960.00,HHF,02/10/2016,No,4,Riverbend,42.380507,-82.949964,"location
(42.380507, -82.949964)"
2593 Chalmers,21056115.,Homrich,13200.00,HHF,07/22/2015,No,4,Riverbend,42.381606,-82.950061,"location
(42.381606, -82.950061)"
2585 Chalmers,21056116.,Homrich,17000.00,HHF,07/22/2015,No,4,Riverbend,42.381531,-82.950011,"location
(42.381531, -82.950011)"
2535 Chalmers,21056124.,Homrich,14000.00,HHF,07/28/2015,No,4,Riverbend,42.380942,-82.949616,"location
(42.380942, -82.949616)"
2519 Chalmers,21056127.,Homrich,14500.00,HHF,07/22/2015,No,4,Riverbend,42.380721,-82.949467,"location
(42.380721, -82.949467)"
20434 Griggs,16041367.,"Adamo Group, Inc.",10973.00,HHF,08/06/2015,No,2,Pembroke,42.443756,-83.164382,"location
(42.443756, -83.164382)"
20525 Kentucky,16036770.,"Adamo Group, Inc.",10246.00,HHF,08/05/2015,No,2,Garden Homes,42.445044,-83.160704,"location
(42.445044, -83.160704)"
19994 San Juan,16025722.,Den-Man Contractors,14659.00,HHF,06/01/2018,No,2,Garden Homes,42.440151,-83.147033,"location
(42.440151, -83.147033)"
20049 Kentucky,16036807.,Den-Man Contractors,12630.00,HHF,06/15/2018,No,2,Garden Homes,42.440672,-83.160515,"location
(42.440672, -83.160515)"
20506 Greenlawn,16029672.,"Adamo Group, Inc.",11349.00,HHF,08/06/2015,No,2,Garden Homes,42.445017,-83.151998,"location
(42.445017, -83.151998)"
20507 Indiana,16035829.,"Adamo Group, Inc.",14584.00,HHF,08/05/2015,No,2,Garden Homes,42.444858,-83.159589,"location
(42.444858, -83.159589)"
15745 Petoskey,12013005.,Rickman Enterprise Group,22300.00,HHF,06/04/2016,No,2,Pilgrim Village,42.40699,-83.139667,"location
(42.40699, -83.139667)"
17378 Russell,09020575.,"Adamo Group, Inc.",22415.00,HHF,08/31/2015,No,3,Cadillac Heights,42.421195,-83.08938,"location
(42.421195, -83.08938)"
17315 Hull,09020200.,"Adamo Group, Inc.",21118.00,HHF,08/31/2015,No,3,Cadillac Heights,42.420357,-83.088754,"location
(42.420357, -83.088754)"
17210 Hull,09019684.,"Adamo Group, Inc.",21532.00,HHF,08/31/2015,No,3,Cadillac Heights,42.419868,-83.088083,"location
(42.419868, -83.088083)"
17193 Greeley,09019653.,"Adamo Group, Inc.",22005.00,HHF,09/01/2015,No,3,Cadillac Heights,42.419636,-83.08754,"location
(42.419636, -83.08754)"
17181 Greeley,09019655.,Rickman Enterprise Group,11780.00,HHF,02/09/2017,No,3,Cadillac Heights,42.419471,-83.087533,"location
(42.419471, -83.087533)"
1726 Victor,09006586.,DMC Consultants,12998.00,HHF,12/04/2018,No,3,North Campau,42.41228,-83.080882,"location
(42.41228, -83.080882)"
9581 Cameron,05004484.,Rickman Enterprise Group,11510.00,HHF,02/06/2017,No,5,North End,42.389859,-83.073356,"location
(42.389859, -83.073356)"
968 Hague,05002870.,DMC Consultants,13196.00,HHF,11/20/2015,No,5,North End,42.382346,-83.068661,"location
(42.382346, -83.068661)"
18457 Gable,13012632.,DMC Consultants,13657.00,HHF,11/16/2015,No,3,Grant,42.428744,-83.042837,"location
(42.428744, -83.042837)"
6873 Edgeton,15003670-5,Homrich,27894.85,HHF,10/25/2018,No,3,Grant,42.422859,-83.030306,"location
(42.422859, -83.030306)"
1926 Elmhurst,08003591.,Able Demolition,7878.00,Non-HHF,04/23/2014,No,5,Dexter-Linwood,42.387798,-83.108029,"location
(42.387798, -83.108029)"
1374 E Grand Blvd,15007718.,Salenbien Trucking & Excavating Inc.,21600.00,HHF,05/17/2016,No,5,Gratiot Town/Ketterring,42.379111,-83.022031,"location
(42.379111, -83.022031)"
5078 Seyburn,17010773.,Salenbien Trucking & Excavating Inc.,20815.85,HHF,11/08/2018,No,5,Gratiot-Grand,42.376738,-83.014115,"location
(42.376738, -83.014115)"
4809 Seyburn,17010819.,"Adamo Group, Inc.",22666.00,HHF,04/25/2016,No,5,Gratiot-Grand,42.374709,-83.013487,"location
(42.374709, -83.013487)"
16218 Eastburn,21025550.,Able Demolition,9892.00,HHF,04/28/2016,No,3,Regent Park,42.44541,-82.953148,"location
(42.44541, -82.953148)"
16243 Rossini Drive,21025057.,"313 Construction, LLC",11760.00,HHF,05/02/2016,No,3,Regent Park,42.444149,-82.95267,"location
(42.444149, -82.95267)"
10879 Stratmann,21058567-8,DMC Consultants,10120.00,HHF,05/25/2016,No,4,Outer Drive-Hayes,42.417977,-82.957096,"location
(42.417977, -82.957096)"
10737 Wayburn,21063757.,DMC Consultants,9908.75,HHF,05/20/2016,No,4,Outer Drive-Hayes,42.417041,-82.956513,"location
(42.417041, -82.956513)"
10981 Rossiter,21058762.,McDonagh Demolition Inc.,15454.41,HHF,12/13/2018,No,4,Denby,42.418905,-82.954331,"location
(42.418905, -82.954331)"
10498 Lakepointe,21064769.,Rickman Enterprise Group,9410.00,HHF,04/23/2016,No,4,Outer Drive-Hayes,42.414792,-82.955857,"location
(42.414792, -82.955857)"
10585 Roxbury,21059018.,DMC Consultants,9930.00,HHF,08/19/2016,No,4,Outer Drive-Hayes,42.416648,-82.953824,"location
(42.416648, -82.953824)"
10265 Beaconsfield,21066135.,Able Demolition,8274.43,HHF,05/02/2016,No,4,Outer Drive-Hayes,42.414559,-82.952903,"location
(42.414559, -82.952903)"
10460 Greensboro,21065319.,Able Demolition,15383.00,HHF,04/25/2016,No,4,Outer Drive-Hayes,42.415727,-82.952524,"location
(42.415727, -82.952524)"
14428 Promenade,21008752.,Brown Environmental Construction,6480.00,Non-HHF,05/28/2014,No,4,Outer Drive-Hayes,42.413706,-82.969735,"location
(42.413706, -82.969735)"
3636 Haverhill,21069956.,DMC Consultants,16130.51,HHF,09/17/2015,No,4,Morningside,42.39208,-82.936489,"location
(42.39208, -82.936489)"
