Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
8489,Detroit Academy of Arts and Sciences,2985 East Jefferson Ave,Detroit,MI,48207,690,0,0,82,Wayne RESA,82929,Detroit Academy of Arts and Sciences,PSA School,Wayne,5318,Oakland University,Self-managed,"KG-Part,1,2,3,4,5","KG-Part,1,2,3,4,5",1,0,0,"location
(42.3405300000001, -83.0184)"
8501,Dove Academy of Detroit,20001 Wexford,Detroit,MI,48234,337,111,0,82,Wayne RESA,82930,Dove Academy of Detroit,PSA School,Wayne,5318,Oakland University,Choice Schools Associates,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4415900000001, -83.06645)"
8569,Cesar Chavez Middle School,6782 Goldsmith St,Detroit,MI,48209,0,595,0,82,Wayne RESA,82918,Cesar Chavez Academy,PSA School,Wayne,4884,Saginaw Valley State University,Leona Group,"6,7,8","6,7,8",0,1,0,"location
(42.3115000000001, -83.1154799999999)"
8572,Timbuktu Academy,10800 East Canfield St,Detroit,MI,48214,265,105,0,82,Wayne RESA,82933,Timbuktu Academy,PSA School,Wayne,82015,Detroit Public Schools Community District,Magnum Educational Services,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3806500000001, -82.98569)"
8631,Voyageur Academy,4321 Military St,Detroit,MI,48210,465,286,0,82,Wayne RESA,82940,Voyageur Academy,PSA School,Wayne,1224,Ferris State University,American Promise Schools,"KG,KG-Part,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.33232, -83.12022)"
8635,George Crockett Academy,4851 14Th St,Detroit,MI,48208,318,123,0,82,Wayne RESA,82937,George Crockett Academy,PSA School,Wayne,2759,Northern Michigan University,Leona Group,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3490800000001, -83.08701)"
8637,Hope Academy,12121 Broadstreet Ave,Detroit,MI,48204,344,158,0,82,Wayne RESA,82942,Hope Academy,PSA School,Wayne,1047,Eastern Michigan University,BDFI Educational Services,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3794, -83.1353099999999)"
8641,Weston Preparatory Academy,22930 Chippewa St,Detroit,MI,48219,206,125,0,82,Wayne RESA,82943,Weston Preparatory Academy,PSA School,Wayne,5318,Oakland University,CS Partners,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4390500000001, -83.27017)"
8651,Detroit Edison Public School Academy,1903 Wilkins St,Detroit,MI,48207,637,324,0,82,Wayne RESA,82945,Detroit Edison Public School Academy,PSA School,Wayne,5318,Oakland University,New Paradigm For Education,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3516900000001, -83.0376199999999)"
8670,David Ellis Academy,18977 Schaefer Hwy,Detroit,MI,48235,252,93,0,82,Wayne RESA,82947,David Ellis Academy,PSA School,Wayne,82015,Detroit Public Schools Community District,Bardwell Group,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4302000000001, -83.18078)"
8671,Universal Academy,4833 Ogden,Detroit,MI,48210,341,171,204,82,Wayne RESA,82950,Universal Academy,PSA School,Wayne,5318,Oakland University,"Hamadeh Educational Services, Inc.","KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,"location
(42.32804, -83.14546)"
8704,Detroit Service Learning Academy Campus,21605 West 7 Mile Rd,Detroit,MI,48219,651,312,0,82,Wayne RESA,82953,Detroit Service Learning Academy,PSA School,Wayne,5218,Lake Superior State University,Self-managed,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.42837, -83.25652)"
